Ad Headline,Creative Type,Target Audience,CTR (%),Conversions
Big Summer Sale – 50% Off,Image,Women ,3.2,120
New Arrivals – Shop Now,Video,Men ,2.8,95
Limited Time Offer!,Carousel,All ,4.1,210
Festive Discounts 🎉,Image,Families ,3.7,180
Try Our New Collection,Video,Women ,2.5,75
Weekend Flash Sale 🚀,Image,Men ,3.4,140
Exclusive Deals for You,Carousel,All ,4.3,225
"Shop Smart, Save More",Video,Women ,2.9,105
Holiday Mega Clearance,Image,All ,3.8,190
New Year New You ✨,Video,Men ,2.6,85
